student_id,study_hour,attendance_percentage,class_participation,Assignment_Scores,Test_Scores,total_score,grade,Previous_GPA
14063,8.9,82.6,5.9,23.1,38.8,58.3,C,2.26
14227,27.6,89.0,5.6,49.0,79.6,100.0,A,4.0
14931,32.1,66.3,7.6,52.2,67.0,100.0,A,3.44
15921,15.9,88.3,6.4,34.3,54.5,78.7,B,3.25
16081,13.5,77.2,8.1,33.2,60.3,81.0,B,3.01
16248,9.2,82.2,5.2,27.7,56.1,73.0,B,2.84
16488,14.3,100.0,7.3,35.0,63.8,84.8,B,3.84
17238,18.7,85.9,7.4,37.5,56.1,82.9,B,3.34
17647,16.4,87.5,3.9,41.0,84.4,100.0,A,4.0
18043,5.8,92.9,5.5,15.5,21.1,40.2,D,1.85
18093,11.6,96.6,7.0,28.3,48.4,69.1,C,3.11
18374,2.7,84.8,7.4,21.9,59.3,68.9,C,2.75
18959,22.9,80.7,6.5,44.9,68.4,97.5,A,3.77
19610,9.1,71.5,4.9,28.8,60.6,76.6,B,2.66
20474,7.6,93.6,5.2,25.9,55.4,70.7,B,3.09
21220,15.9,100.0,4.7,33.4,51.2,75.9,B,3.5
21426,15.6,76.8,8.4,34.1,55.5,79.1,B,2.92
21593,9.0,99.9,7.4,25.6,48.6,66.5,C,3.11
22286,19.2,73.3,4.3,43.0,78.3,100.0,A,3.65
23286,18.2,85.6,6.6,38.7,63.1,88.2,A,3.55
23674,19.5,97.6,4.4,43.2,78.5,100.0,A,4.0
23683,4.6,80.3,6.4,21.7,50.8,63.8,C,2.41
23952,15.7,87.3,9.5,37.1,66.7,88.6,A,3.61
24567,21.8,100.0,5.2,40.8,56.4,86.4,A,4.0
25769,25.2,81.0,10.0,47.3,78.6,100.0,A,3.88
26707,19.1,93.1,7.0,42.9,82.7,100.0,A,4.0
27964,13.9,87.1,5.4,28.4,39.3,63.9,C,2.62
28164,4.5,98.3,5.6,21.6,50.5,63.5,C,2.94
28388,21.7,94.0,6.9,41.5,59.9,89.2,A,3.84
29783,9.8,84.0,5.7,32.9,74.2,88.7,A,3.52
30321,15.1,94.0,5.2,33.5,54.8,78.0,B,3.39
30376,20.2,80.5,9.0,43.7,84.6,100.0,A,3.86
30752,15.7,97.3,5.6,39.1,75.0,95.5,A,4.0
30982,11.6,81.8,5.6,36.3,80.3,95.7,A,3.73
31481,23.5,79.9,5.1,46.0,71.4,100.0,A,3.85
31742,8.4,94.9,8.9,25.9,52.0,68.7,C,3.04
32235,17.1,84.2,5.9,33.4,46.3,73.1,B,2.9
32827,11.5,82.7,3.5,29.7,54.6,74.1,B,2.89
33201,25.3,94.6,5.5,47.3,71.6,100.0,A,4.0
33225,7.1,84.0,7.2,27.7,64.8,78.0,B,3.09
33320,15.9,100.0,4.0,40.3,78.9,98.9,A,4.0
33381,14.0,73.6,4.8,37.8,76.8,95.2,A,3.47
35033,1.5,67.7,9.4,14.7,35.6,47.9,D,1.4
35474,14.9,91.1,5.0,33.8,56.9,79.6,B,3.37
36766,12.1,84.5,8.3,33.3,66.2,84.5,B,3.36
37916,4.3,99.5,4.9,21.5,51.1,63.7,C,2.98
38748,16.6,90.7,5.9,41.2,80.3,100.0,A,4.0
38897,24.8,92.9,5.5,47.0,71.9,100.0,A,4.0
40811,14.9,80.2,5.3,33.6,55.9,78.8,B,3.01
41378,8.2,62.6,4.7,24.6,47.5,64.8,C,1.92
41622,21.5,63.4,6.1,44.2,71.1,98.4,A,3.29
43142,16.8,84.5,3.5,39.0,69.8,92.4,A,3.68
43275,20.3,81.1,7.3,43.8,77.0,100.0,A,3.88
43531,8.6,74.8,8.9,34.3,84.9,96.4,A,3.55
43755,16.4,90.3,6.8,32.3,44.7,71.0,B,3.0
44479,13.0,86.6,7.7,32.4,59.0,79.4,B,3.22
44775,27.2,73.5,5.0,48.7,79.7,100.0,A,3.66
44793,19.2,94.3,10.0,41.0,68.1,93.4,A,4.0
45251,15.3,91.4,8.9,39.2,77.1,96.8,A,4.0
45679,28.4,91.2,8.5,49.5,69.5,100.0,A,4.0
47357,21.0,89.2,4.5,42.6,67.0,94.4,A,3.9
47423,1.1,76.9,8.4,15.1,38.8,50.2,D,1.77
47978,10.1,80.8,6.1,26.1,45.6,65.2,C,2.48
49199,17.7,73.9,5.5,39.7,68.7,92.4,A,3.36
49624,28.7,94.9,5.4,49.8,71.4,100.0,A,4.0
49983,21.3,86.6,5.9,44.5,76.6,100.0,A,4.0
50314,22.1,70.7,4.6,45.1,77.7,100.0,A,3.57
51334,15.5,82.7,2.4,35.5,61.1,83.7,B,3.28
51565,22.6,84.3,8.2,45.4,74.8,100.0,A,3.98
51620,27.8,72.4,9.0,49.2,82.2,100.0,A,3.62
51663,17.1,100.0,9.6,38.6,67.0,90.3,A,4.0
52403,9.9,81.0,7.9,27.3,51.1,69.6,C,2.66
52414,28.0,78.0,0.6,49.3,74.5,100.0,A,3.79
52542,20.7,82.0,10.0,44.0,81.9,100.0,A,3.91
52810,10.5,71.3,7.5,26.2,44.5,64.7,C,2.18
53983,1.2,94.0,8.5,18.1,50.2,59.8,C,2.66
55071,15.8,71.8,4.6,34.5,56.2,79.9,B,2.8
55400,0.9,87.0,5.4,9.2,15.8,30.8,F,1.29
56319,18.6,93.5,8.0,42.6,83.5,100.0,A,4.0
56418,10.9,85.5,5.3,35.5,80.2,94.8,A,3.81
57394,12.5,88.2,4.7,35.2,72.7,90.2,A,3.7
58175,9.8,96.2,5.2,31.3,68.0,83.5,B,3.68
58471,21.1,91.6,8.1,44.3,78.4,100.0,A,4.0
58836,11.6,69.7,2.9,34.5,73.3,89.8,A,3.13
59175,25.3,65.8,4.0,47.3,79.8,100.0,A,3.42
60541,15.8,95.4,2.4,36.6,64.6,86.9,A,3.79
60913,20.1,71.6,3.8,40.6,62.9,90.0,A,3.2
61677,17.3,78.5,6.5,41.3,77.0,98.9,A,3.76
62037,17.4,75.0,3.5,34.1,47.9,74.7,B,2.69
62933,19.5,77.0,7.0,41.0,66.7,92.6,A,3.46
63225,11.8,79.2,5.2,33.5,68.3,85.9,A,3.26
63469,21.0,78.6,6.3,44.0,72.6,99.0,A,3.77
63645,1.5,97.2,4.3,16.4,42.0,53.3,D,2.5
64291,15.5,86.9,6.1,34.4,56.9,80.2,B,3.26
66337,11.2,84.0,5.0,34.8,76.1,91.7,A,3.64
67080,14.7,91.7,8.4,36.3,67.7,88.4,A,3.74
67299,14.4,84.1,5.4,34.9,63.2,84.4,B,3.35
67401,9.9,85.7,3.9,23.8,37.2,58.0,C,2.34
67899,0.0,69.4,7.5,16.8,55.8,63.2,C,2.06
68879,8.5,95.3,6.9,29.0,63.8,78.7,B,3.46
68978,14.5,92.5,4.1,31.4,48.6,72.3,B,3.12
69255,29.0,94.9,4.0,50.0,69.5,100.0,A,4.0
69322,19.5,88.8,7.8,43.2,81.5,100.0,A,4.0
71973,16.6,65.0,4.6,38.8,69.9,92.2,A,3.09
72684,0.0,89.4,9.3,12.9,36.7,47.3,D,2.02
72819,15.8,70.3,3.0,36.4,63.5,86.1,A,3.0
73226,9.1,86.3,3.6,21.6,31.8,52.7,D,2.15
73341,16.0,66.2,7.4,36.4,62.8,85.6,A,2.86
74397,24.9,100.0,6.6,47.1,72.8,100.0,A,4.0
75141,19.9,76.1,7.7,38.2,53.8,82.2,B,3.02
75182,6.0,100.0,5.3,20.9,41.8,57.7,C,2.81
75431,8.6,65.2,6.4,23.1,40.2,59.1,C,1.77
75501,0.0,84.5,5.4,12.8,43.8,53.2,D,2.11
75777,24.0,81.8,6.4,46.4,72.8,100.0,A,3.9
76919,10.0,77.8,6.8,31.3,67.0,82.9,B,3.1
79955,17.1,73.9,5.4,34.7,51.4,77.3,B,2.76
81096,21.5,67.4,6.6,43.9,70.2,97.6,A,3.38
82034,15.3,81.5,4.0,35.5,62.2,84.4,B,3.27
82749,12.1,98.3,3.4,36.7,79.8,95.8,A,4.0
82894,17.7,94.1,4.5,41.9,78.0,100.0,A,4.0
83048,8.0,98.7,9.9,25.0,49.9,66.6,C,3.07
83951,24.8,88.8,8.6,47.0,74.2,100.0,A,4.0
84895,12.9,91.7,5.5,34.3,67.2,86.1,A,3.65
86460,17.4,97.7,4.0,39.0,67.4,91.0,A,4.0
87947,16.7,73.5,9.9,34.1,50.4,76.1,B,2.7
89490,0.4,92.3,6.1,11.7,28.2,40.5,D,1.84
90152,21.8,82.4,6.5,44.8,74.2,100.0,A,3.92
90878,28.1,75.6,8.3,49.3,72.2,100.0,A,3.72
91198,25.7,100.0,8.3,47.6,71.8,100.0,A,4.0
91489,31.6,78.4,5.4,51.8,77.0,100.0,A,3.8
91890,14.8,79.1,4.9,37.1,70.2,90.6,A,3.45
92084,10.2,92.5,6.3,29.0,56.8,74.6,B,3.21
92377,13.0,65.9,8.2,32.5,59.6,79.9,B,2.62
92661,11.9,93.8,5.0,31.5,60.0,79.1,B,3.43
93743,9.7,91.3,8.4,26.9,50.9,69.1,C,2.95
93877,11.9,92.9,3.3,36.7,81.0,96.5,A,4.0
94878,17.4,90.4,2.9,37.3,60.6,85.3,A,3.57
96437,8.0,84.2,5.8,21.0,33.7,53.1,D,2.1
96512,15.8,84.7,6.5,36.8,65.2,87.4,A,3.49
96998,16.5,80.4,6.7,34.9,54.4,79.2,B,3.03
98151,17.1,89.2,5.8,37.2,61.5,85.7,A,3.55
98606,12.8,95.8,5.3,34.3,67.5,86.3,A,3.78
99902,14.5,71.5,5.5,31.6,49.7,73.2,B,2.52
100076,5.2,91.6,6.8,23.8,56.8,69.4,C,2.97
100489,11.2,92.4,4.3,32.8,68.1,85.1,A,3.63
101955,17.2,94.1,9.1,41.5,81.5,100.0,A,4.0
103642,2.3,74.1,9.4,19.8,52.9,63.1,C,2.2
103661,23.8,88.9,4.5,46.3,74.6,100.0,A,4.0
104236,7.3,80.2,5.6,26.8,60.3,74.5,B,2.84
104515,25.6,91.4,6.8,47.6,69.8,100.0,A,4.0
105759,19.9,85.4,6.1,43.5,76.5,100.0,A,4.0
107114,17.7,80.1,5.2,38.5,63.9,88.4,A,3.39
107321,22.2,76.0,5.6,45.2,75.0,100.0,A,3.73
107757,14.6,79.5,4.6,39.7,83.5,100.0,A,3.83
108150,23.1,78.6,6.2,45.8,72.1,100.0,A,3.81
110339,7.4,74.9,2.6,23.1,44.8,61.7,C,2.17
113068,10.7,85.3,7.3,28.1,51.5,70.7,B,2.84
113342,4.2,89.1,5.7,18.2,38.6,53.2,D,2.25
113373,19.1,85.3,10.0,42.9,82.1,100.0,A,4.0
113388,17.5,94.2,4.9,41.4,76.7,98.8,A,4.0
114136,19.0,93.5,5.5,42.6,75.3,99.2,A,4.0
115139,17.0,79.9,2.3,39.1,69.3,92.1,A,3.53
115333,18.2,91.5,5.1,41.5,73.8,97.2,A,4.0
115772,26.0,73.1,6.9,47.9,76.5,100.0,A,3.64
116593,5.0,82.1,4.5,21.5,48.3,62.1,C,2.4
117691,16.0,72.1,9.4,31.9,44.6,70.5,B,2.43
118210,13.5,95.2,6.0,34.8,66.5,86.2,A,3.75
118843,17.2,88.4,6.8,36.5,58.2,83.1,B,3.43
119620,13.0,96.1,6.0,37.8,80.8,97.5,A,4.0
120216,23.0,69.8,5.4,45.7,90.2,100.0,A,3.54
120647,15.5,69.3,8.2,38.8,74.1,94.6,A,3.31
121585,11.5,100.0,3.4,30.9,59.3,78.0,B,3.63
122339,6.9,81.1,2.0,26.8,61.6,75.2,B,2.89
122582,3.5,85.2,5.0,19.7,47.2,59.7,C,2.39
123552,2.7,72.1,2.6,19.1,48.5,59.8,C,2.01
124509,23.5,90.9,9.3,45.9,69.9,99.4,A,4.0
125146,14.5,80.5,7.4,32.9,55.0,77.6,B,2.97
125787,15.2,98.0,5.0,33.6,54.8,78.2,B,3.52
126000,25.9,87.5,5.6,47.8,75.7,100.0,A,4.0
126202,13.3,93.4,6.4,32.0,56.4,77.5,B,3.35
126315,8.4,84.4,4.5,29.8,67.7,81.8,B,3.26
127889,11.1,98.3,7.1,30.1,57.6,76.2,B,3.45
128052,13.2,97.7,5.1,30.2,49.1,71.4,B,3.24
128330,4.7,96.6,6.6,21.8,50.8,63.9,C,2.9
128480,10.8,98.4,6.1,30.2,59.4,77.4,B,3.5
128652,18.1,78.0,6.3,41.9,76.3,99.1,A,3.75
129819,17.3,84.2,8.2,39.6,70.4,93.3,A,3.71
130111,7.1,65.9,8.0,24.6,51.8,67.3,C,2.12
130278,8.6,94.8,5.5,30.1,67.8,82.1,B,3.58
131553,12.6,85.4,7.3,34.0,67.1,85.7,A,3.44
131915,14.3,85.1,10.0,34.6,62.3,83.5,B,3.34
132694,23.2,82.5,9.4,45.8,76.1,100.0,A,3.93
133718,20.9,100.0,5.6,43.6,71.5,98.0,A,4.0
134217,25.2,68.9,5.5,47.3,77.8,100.0,A,3.52
135050,3.8,78.1,2.6,20.7,50.0,62.3,C,2.29
135121,16.6,90.0,6.5,39.0,70.7,92.9,A,3.87
135209,5.3,74.4,7.0,28.6,75.4,85.1,A,3.09
136060,15.7,100.0,4.6,38.3,71.9,92.9,A,4.0
137307,13.8,77.1,6.2,38.7,80.6,98.3,A,3.69
138802,13.0,56.5,5.2,36.1,73.6,91.6,A,2.81
139018,6.2,90.5,6.5,25.9,61.1,74.0,B,3.12
139053,21.5,56.0,8.7,42.5,64.5,92.8,A,2.84
139428,12.8,95.5,0.8,35.3,71.5,89.6,A,3.9
139639,5.5,89.6,4.6,21.5,46.0,60.8,C,2.57
139687,16.3,98.4,6.1,38.3,69.2,91.3,A,4.0
141083,22.4,84.2,7.2,44.8,70.3,98.6,A,3.92
141117,12.2,78.0,9.4,32.5,62.8,81.7,B,3.06
141862,12.4,83.4,10.0,34.6,70.1,88.0,A,3.47
141888,7.2,85.1,4.0,23.7,48.0,64.2,C,2.57
143249,17.3,90.5,7.0,40.7,74.4,96.7,A,4.0
144139,24.1,77.3,7.3,46.5,73.8,100.0,A,3.77
144346,18.0,75.6,3.4,42.1,80.1,100.0,A,3.72
145027,9.3,70.7,9.2,23.2,37.4,57.5,C,1.87
145155,19.0,87.1,9.5,42.8,76.5,100.0,A,4.0
145451,16.2,95.3,5.9,39.5,74.3,95.5,A,4.0
147157,18.6,93.0,3.8,40.5,68.4,93.0,A,3.96
147888,12.9,77.7,8.1,35.3,71.2,89.4,A,3.36
147965,10.3,92.1,5.1,22.2,29.4,51.9,D,2.29
148418,15.1,93.2,6.2,32.5,50.7,74.7,B,3.23
148485,13.7,93.8,6.9,39.1,84.4,100.0,A,4.0
150099,10.0,85.0,7.1,31.7,68.8,84.4,B,3.38
150875,11.0,89.0,1.9,26.4,43.2,64.1,C,2.69
151112,10.2,85.5,4.6,27.4,50.8,69.6,C,2.8
151612,9.1,91.4,1.1,31.3,70.6,85.0,B,3.59
153888,8.2,99.9,5.7,24.1,45.6,63.2,C,2.98
154009,20.3,70.8,5.7,41.8,66.7,93.4,A,3.31
154415,15.8,67.9,8.5,35.3,58.9,82.2,B,2.77
154450,10.4,89.6,3.1,28.4,53.9,72.4,B,3.03
155553,4.9,100.0,7.0,19.6,41.3,56.2,C,2.82
155734,14.1,83.5,3.2,35.0,64.9,85.5,A,3.38
156709,19.1,83.4,6.6,42.9,80.6,100.0,A,3.95
158684,17.3,88.1,6.8,35.8,55.1,80.6,B,3.32
158978,12.7,80.1,4.2,36.0,74.8,92.2,A,3.54
158993,14.0,100.0,7.1,33.8,60.9,81.9,B,4.0
159356,22.6,82.1,4.4,45.4,86.0,100.0,A,3.91
159460,26.2,82.2,4.6,48.0,76.5,100.0,A,3.92
160614,7.7,94.4,4.6,24.9,50.9,67.1,C,2.97
160878,23.2,80.4,3.7,45.9,78.7,100.0,A,3.86
164672,16.4,91.9,10.0,39.1,71.8,93.6,A,3.95
165480,27.5,63.9,4.5,48.9,74.3,100.0,A,3.37
166474,16.1,100.0,3.8,36.5,62.5,85.6,A,3.89
166605,15.3,92.2,5.6,38.1,72.2,92.8,A,3.93
166878,18.3,97.8,4.0,42.1,75.7,98.9,A,4.0
167185,21.1,81.8,4.2,44.4,77.2,100.0,A,3.9
167490,16.5,78.6,7.1,36.0,59.0,83.1,B,3.13
168064,15.9,78.4,7.5,34.0,53.3,77.7,B,2.91
168985,1.8,92.1,4.0,14.4,32.9,46.0,D,2.05
169123,11.6,88.2,7.3,26.5,41.5,63.3,C,2.63
169480,20.7,91.3,7.4,44.0,78.8,100.0,A,4.0
169483,18.4,84.9,5.1,38.1,59.7,85.6,A,3.42
171563,10.3,94.1,8.2,26.6,47.0,66.6,C,2.94
171974,14.1,81.1,10.0,36.1,69.3,89.1,A,3.45
172272,15.5,71.9,5.3,34.6,57.4,80.7,B,2.83
173033,4.2,100.0,7.2,26.2,70.4,79.7,B,3.84
173512,21.2,90.0,7.9,44.4,77.8,100.0,A,4.0
173516,18.1,90.9,4.1,41.3,73.7,97.0,A,4.0
173547,8.6,100.0,8.7,24.2,44.4,62.6,C,3.01
177138,15.0,69.3,9.8,37.0,69.4,90.1,A,3.13
178035,13.9,100.0,6.2,33.7,60.6,81.6,B,3.81
178229,12.7,82.2,7.4,36.5,76.7,93.8,A,3.67
178393,13.4,79.5,6.4,29.4,45.4,68.5,C,2.58
179130,19.8,91.4,9.8,40.5,63.6,90.3,A,3.8
179437,22.6,92.1,3.8,43.4,63.6,93.2,A,3.94
180242,17.8,89.6,8.9,42.0,83.5,100.0,A,4.0
180680,9.5,82.7,5.8,31.4,69.3,84.3,B,3.3
181147,16.0,70.1,6.3,37.0,65.0,87.5,A,3.05
181649,8.9,83.5,6.2,25.1,46.6,64.8,C,2.55
182323,20.7,85.2,3.9,42.9,69.4,96.1,A,3.85
182396,8.4,83.6,8.2,26.9,55.7,71.9,B,2.83
182432,23.6,77.3,0.0,46.2,76.6,100.0,A,3.77
183066,6.4,98.6,6.9,23.4,50.3,65.2,C,3.01
183328,27.1,67.9,4.9,48.6,72.1,100.0,A,3.49
183514,22.3,89.3,5.1,45.2,75.6,100.0,A,4.0
183569,20.4,81.1,8.5,41.9,66.7,93.5,A,3.62
184041,15.5,81.1,7.7,32.8,50.5,74.8,B,2.88
184781,22.0,86.4,6.7,45.0,74.4,100.0,A,4.0
185382,12.8,88.0,5.5,35.9,74.0,91.7,A,3.76
185425,17.5,90.8,7.0,36.6,57.4,82.7,B,3.48
185499,6.6,88.9,4.4,26.8,63.1,76.1,B,3.16
185914,14.8,62.8,4.2,37.9,73.9,93.6,A,3.08
186090,9.4,90.1,5.2,27.7,55.2,72.4,B,3.05
186263,12.9,91.2,4.3,35.1,70.0,88.5,A,3.73
188935,28.7,94.1,3.8,49.8,72.6,100.0,A,4.0
189054,3.5,74.2,6.2,20.9,52.2,63.8,C,2.23
189081,28.5,90.8,3.6,49.6,73.6,100.0,A,4.0
190246,7.9,91.0,8.2,27.1,58.8,73.9,B,3.13
190667,5.5,100.0,3.8,20.6,42.8,58.0,C,2.8
191116,0.2,84.6,10.0,16.7,48.9,57.6,C,2.29
192367,21.8,84.8,5.4,44.9,75.2,100.0,A,3.99
194048,17.8,86.2,6.6,40.3,71.0,94.4,A,3.81
194277,22.3,83.6,5.1,45.2,74.1,100.0,A,3.96
194703,17.0,83.1,7.7,41.4,79.9,100.0,A,3.94
196808,18.5,86.3,6.2,39.6,65.3,90.3,A,3.65
196830,8.5,71.1,6.0,26.4,53.5,70.1,B,2.39
197397,22.8,67.8,3.4,45.5,72.2,100.0,A,3.48
198395,20.5,75.7,6.6,43.4,72.4,98.4,A,3.66
198494,22.5,83.3,4.6,45.4,79.5,100.0,A,3.95
198506,14.1,95.7,7.8,33.3,58.4,80.0,B,3.52
199528,14.6,65.8,4.4,38.4,76.7,95.8,A,3.26
199857,9.7,96.7,0.9,29.5,60.9,77.6,B,3.45
200079,18.4,77.4,8.0,39.9,66.7,91.5,A,3.43
200615,11.7,68.7,8.0,34.6,73.3,89.9,A,3.11
201004,18.1,96.2,0.0,37.5,58.2,84.1,B,3.7
201232,13.7,100.0,7.9,34.5,64.6,84.8,B,4.0
202052,12.7,78.9,7.2,34.1,66.8,85.6,A,3.24
202064,18.1,76.0,6.3,42.2,79.7,100.0,A,3.73
203287,24.1,100.0,4.7,46.5,87.7,100.0,A,4.0
203547,15.0,83.3,5.5,35.5,63.3,85.0,A,3.35
204140,9.9,87.2,6.8,29.6,60.4,77.3,B,3.16
204281,11.0,81.3,7.3,30.4,59.2,77.5,B,2.99
207069,18.8,100.0,4.3,42.7,79.0,100.0,A,4.0
208868,28.8,76.4,5.0,49.9,67.8,100.0,A,3.74
212179,13.2,92.4,1.1,34.3,66.1,85.5,A,3.64
212251,6.1,77.1,6.1,19.1,34.0,51.4,D,1.82
212424,12.9,88.1,6.9,31.2,54.8,75.8,B,3.13
212673,12.2,77.6,6.1,31.9,60.6,79.8,B,2.97
213328,5.5,86.2,5.7,23.3,53.3,66.8,C,2.71
214218,13.0,93.3,5.7,38.2,82.0,98.6,A,4.0
214628,21.4,98.0,6.2,44.6,81.0,100.0,A,4.0
215340,20.5,88.5,4.3,43.9,81.6,100.0,A,4.0
215538,17.3,94.5,2.5,31.2,36.7,65.2,C,2.89
217161,21.1,85.4,6.0,44.4,79.3,100.0,A,4.0
219340,23.7,69.5,6.2,46.2,79.0,100.0,A,3.53
219805,15.4,73.1,8.1,34.6,58.0,81.1,B,2.89
221877,4.8,82.6,4.4,23.9,58.7,70.6,B,2.75
224871,10.2,62.3,5.7,29.1,57.4,75.1,B,2.32
224929,24.6,93.2,8.9,46.8,72.2,100.0,A,4.0
227214,0.0,93.2,3.9,10.0,26.8,39.0,F,1.81
227345,18.8,84.2,6.2,40.6,67.9,92.9,A,3.69
227502,17.5,72.5,6.9,41.8,78.7,100.0,A,3.63
228281,18.4,85.1,5.1,38.3,60.6,86.3,A,3.45
228565,22.4,79.8,7.3,45.3,75.2,100.0,A,3.84
231026,19.6,96.9,5.7,38.8,57.7,85.1,A,3.76
233568,15.1,79.3,3.2,39.0,76.7,96.3,A,3.68
234037,21.6,86.7,5.7,44.7,79.5,100.0,A,4.0
234366,12.6,90.4,7.9,31.5,57.3,77.5,B,3.26
234685,22.9,100.0,5.5,45.6,72.4,100.0,A,4.0
235821,13.4,81.0,5.6,33.3,61.0,81.4,B,3.14
235880,23.7,91.9,8.6,46.2,78.4,100.0,A,4.0
236212,13.0,84.9,6.1,24.8,28.8,54.2,D,2.17
236214,20.0,92.0,8.5,42.0,68.6,94.7,A,4.0
237435,15.8,94.9,2.9,40.4,79.4,99.3,A,4.0
237445,21.0,68.2,6.9,44.3,78.9,100.0,A,3.49
238463,17.1,79.9,5.8,36.1,56.9,81.9,B,3.12
240652,15.1,81.9,5.7,31.6,47.1,71.7,B,2.77
240974,9.2,74.6,3.7,27.9,56.8,73.5,B,2.63
241722,17.4,87.5,6.3,41.7,78.8,100.0,A,4.0
242023,15.3,85.3,4.0,34.1,56.5,79.7,B,3.2
244300,4.1,59.2,7.4,19.2,42.6,56.5,C,1.49
244519,22.5,98.4,10.0,45.4,77.5,100.0,A,4.0
244782,4.4,91.3,2.9,15.9,28.5,45.0,D,1.99
245762,0.8,82.2,7.2,11.0,23.5,37.1,F,1.4
245875,10.4,71.4,8.7,24.5,38.3,59.4,C,1.97
246896,13.4,100.0,7.8,31.0,51.6,73.7,B,3.47
249055,13.3,93.8,6.9,32.1,56.3,77.5,B,3.36
249923,21.9,64.9,4.8,44.9,76.5,100.0,A,3.4
250210,17.4,92.3,9.5,41.7,79.0,100.0,A,4.0
250557,14.1,96.0,8.5,34.0,60.6,81.9,B,3.61
251186,15.5,83.4,6.1,37.7,70.1,91.2,A,3.6
252027,22.4,86.1,7.2,45.3,79.0,100.0,A,4.0
253944,22.1,80.4,6.4,45.0,76.8,100.0,A,3.86
254293,8.4,89.7,5.3,27.5,58.5,74.1,B,3.11
255217,15.4,73.5,5.2,35.3,60.6,83.2,B,2.98
256148,6.2,94.8,6.9,24.3,54.3,68.4,C,3.03
256730,9.9,81.8,6.5,30.3,63.4,79.8,B,3.09
257040,20.0,94.2,6.2,41.1,65.0,91.7,A,3.94
257327,8.6,89.4,7.4,23.9,43.0,61.5,C,2.59
257404,11.5,98.7,10.0,35.8,78.8,94.3,A,4.0
257529,24.7,82.0,9.6,46.9,72.7,100.0,A,3.91
259150,17.9,83.9,8.0,42.0,79.8,100.0,A,3.97
259313,10.4,72.8,5.6,29.8,59.5,77.0,B,2.71
259362,13.8,81.9,4.6,38.8,81.5,98.9,A,3.86
260513,20.5,68.3,4.5,43.9,80.9,100.0,A,3.5
261122,27.4,77.0,3.1,48.9,75.9,100.0,A,3.76
262607,20.5,85.3,7.7,40.9,62.4,90.0,A,3.61
263826,22.2,100.0,1.8,45.2,79.4,100.0,A,4.0
264836,4.2,100.0,6.5,20.2,46.7,59.9,C,2.93
265614,24.5,100.0,5.7,46.8,74.9,100.0,A,4.0
265705,19.2,75.5,5.0,35.5,46.0,75.0,B,2.71
265974,15.2,88.6,5.6,31.9,47.9,72.4,B,3.0
266744,22.9,86.4,1.8,45.6,71.4,100.0,A,4.0
268241,14.0,74.2,6.8,37.2,74.1,93.0,A,3.4
269906,18.5,82.7,0.2,42.5,79.9,100.0,A,3.93
272356,22.4,82.0,6.5,45.3,76.2,100.0,A,3.91
272962,15.3,86.7,9.0,37.4,69.4,90.5,A,3.67
272967,16.6,62.5,6.6,41.2,82.0,100.0,A,3.33
273193,12.3,79.4,7.6,32.3,61.5,80.7,B,3.06
273908,9.1,82.8,3.1,31.4,71.2,85.5,A,3.35
274386,11.4,71.6,8.0,32.0,63.8,81.7,B,2.87
274637,4.5,74.3,6.3,19.8,43.5,57.6,C,1.98
